Product Name,Product Version,Mapped Product Name,Lifecycle Color,Match Type,Match Details
z/OS,"Enterprise COBOL for z/OS, V6.1 (EOS, 09/30/2022)",z/OS,blue,no_match,"No match found for product 'z/OS' (mapped from 'z/OS'), version 'enterprise cobol for z/os, v6.1'"
Nomad Self-Managed,1.5.14,Nomad Self-Managed,blue,no_match,"No match found for product 'Nomad Self-Managed' (mapped from 'Nomad Self-Managed'), version '1.5.14'"
QRadar SOAR,51.0.10,QRadar SOAR,green,substring,"Substring match: found 'qradar soar' in 'ibm security qradar soar', version='51.0.x'"
TPF,z/TPF Development 1.0,TPF,blue,no_match,"No match found for product 'TPF' (mapped from 'TPF'), version 'z/tpf development 1.0'"
Power System 795 Server,nan,Power System 795 Server,blue,no_match,Empty or null version
watsonx BI,1.0,watsonx BI,green,substring,"Substring match: found 'watsonx bi' in 'ibm watsonx bi', version='1.0'"
EDB Enterprise Postgres,13,EDB Enterprise Postgres,blue,no_match,"No match found for product 'EDB Enterprise Postgres' (mapped from 'EDB Enterprise Postgres'), version '13'"
Z Virtual Test Platform,2.0.x,Z Virtual Test Platform,orange,substring,"Substring match: found 'z virtual test platform' in 'ibm z virtual test platform', version='2.0.x'"
Hardware Management Console Application,V8 R8  Virtual Appliance,Hardware Management Console Application,blue,no_match,"No match found for product 'Hardware Management Console Application' (mapped from 'Hardware Management Console Application'), version 'v8 r8  virtual appliance'"
Netcool/Impact,7.1.0.27,Netcool/Impact,red,exact,"Exact match: product='netcool/impact', version='7.1.x'"
GSS (GPFS Storage Server),5.0.1 Spectrum Scale RAID for x86 GPFS Storage Server (Lenovo) [EOS 4/30/2022],GSS (GPFS Storage Server),blue,no_match,"No match found for product 'GSS (GPFS Storage Server)' (mapped from 'GSS (GPFS Storage Server)'), version '5.0.1 spectrum scale raid for x86 gpfs storage server (lenovo) [eos 4/30/2022]'"
webMethods Hybrid Integration,11.2,webMethods Hybrid Integration,blue,no_match,"No match found for product 'webMethods Hybrid Integration' (mapped from 'webMethods Hybrid Integration'), version '11.2'"
Tape Drives,nan,Tape Drives,blue,no_match,Empty or null version
Copy Services Manager,6.3.12.1,Copy Services Manager,green,substring,"Substring match: found 'copy services manager' in 'ibm copy services manager', version='6.3.x'"
